Model,CV_Accuracy_Mean,CV_Accuracy_SD,Test_Accuracy,Test_AUC,Test_F1
LogReg,0.7542857142857142,0.03602720060833853,0.7619047619047619,0.8389300411522634,0.6706586826347305
RandomForest,0.8300000000000001,0.06411087334947677,0.7402597402597403,0.8302057613168724,0.6385542168674698
XGBoost,0.8099999999999999,0.06236822843698021,0.7402597402597403,0.808395061728395,0.6153846153846154
